Counties,Units Sold,Units Sold % Chg,Average Price,Price % Chg,Year
Allegany County,541,0.055,93125,0.034,2015
Anne Arundel County,7909,0.13,361671,0.022,2015
Baltimore City,7998,0.067,158067,0.091,2015
Baltimore County,9890,0.085,249652,0.053,2015
Calvert County,1451,0.15,311314,0.008,2015
Caroline County,393,-0.028,154011,0.089,2015
Carroll County,2148,0.161,298873,0.048,2015
Cecil County,1184,0.131,218225,-0.007,2015
Charles County,2348,0.133,269921,0.042,2015
Dorchester County,402,0.122,167923,-0.022,2015
Frederick County,3726,0.118,295621,0.026,2015
Garrett County,399,0.175,285670,0.049,2015
Harford County,3397,0.11,260212,0.016,2015
Howard County,4128,0.103,432329,0.005,2015
Kent County,275,0.185,232027,0.082,2015
Montgomery County,12176,0.057,501093,0.008,2015
Prince George's County,9350,0.104,248828,0.073,2015
Queen Anne's County,833,0.032,331776,0.072,2015
Somerset County,216,0.079,90290,0.285,2015
St. Mary's County,1368,0.116,262345,0.063,2015
Talbot County,617,0.021,399773,0.017,2015
Washington County,1634,0.092,178559,0.053,2015
Wicomico County,1079,0.071,154160,-0.02,2015
Worcester County,2019,0.07,254423,0.028,2015
Allegany County,571,0.135,96286,0.008,2016
Anne Arundel County,8938,0.014,369780,0.045,2016
Baltimore City,8537,0.099,172429,0.048,2016
Baltimore County,10727,0.015,262855,0.05,2016
Calvert County,1669,0.041,313830,0.079,2016
Caroline County,382,0.021,167711,0.073,2016
Carroll County,2493,-0.045,313141,0.05,2016
Cecil County,1339,0.055,216604,0.05,2016
Charles County,2660,0.065,281123,0.052,2016
Dorchester County,451,-0.071,164247,0.105,2016
Frederick County,4164,0.08,303453,0.064,2016
Garrett County,469,0.058,299765,0.23,2016
Harford County,3772,0.016,264334,0.034,2016
Howard County,4554,0.006,434384,0.026,2016
Kent County,326,0.025,251150,0.037,2016
Montgomery County,12865,-0.005,505003,0.034,2016
Prince George's County,10322,0.068,266947,0.085,2016
Queen Anne's County,860,0.083,355763,0.024,2016
Somerset County,233,-0.064,116013,0.059,2016
St. Mary's County,1527,0.09,278823,0.035,2016
Talbot County,630,0.117,406660,0.131,2016
Washington County,1784,0,188092,0.059,2016
Wicomico County,1156,0.086,151027,0.067,2016
Worcester County,2160,0.122,261507,0.05,2016
Allegany County,648,-0.04,97097,0.122,2017
Anne Arundel County,9060,0.006,386316,0.044,2017
Baltimore City,9379,-0.034,180785,0.007,2017
Baltimore County,10890,-0.02,275893,0.027,2017
Calvert County,1737,-0.036,338544,0.037,2017
Caroline County,390,-0.072,179998,0.06,2017
Carroll County,2382,0.003,328715,0.028,2017
Cecil County,1412,-0.066,227371,0.035,2017
Charles County,2832,-0.026,295701,0.054,2017
Dorchester County,419,0.036,181483,0.069,2017
Frederick County,4497,-0.012,322778,0.058,2017
Garrett County,496,-0.034,368860,-0.084,2017
Harford County,3831,0.023,273315,0.03,2017
Howard County,4583,-0.048,445808,0.023,2017
Kent County,334,-0.03,260472,0.068,2017
Montgomery County,12802,-0.026,522213,0.035,2017
Prince George's County,11028,0.013,289587,0.043,2017
Queen Anne's County,931,-0.062,364340,0.028,2017
Somerset County,218,0.06,122903,0.042,2017
St. Mary's County,1664,-0.016,288713,0.021,2017
Talbot County,704,-0.06,460055,-0.019,2017
Washington County,1784,0.006,199209,0.077,2017
Wicomico County,1255,0.011,161207,0.029,2017
Worcester County,2424,-0.041,274495,0.04,2017
Allegany County,622,0.117,108916,0.024,2018
Anne Arundel County,9112,0.101,403349,0.02,2018
Baltimore City,9057,0.005,182088,0.026,2018
Baltimore County,10669,0.027,283423,0.037,2018
Calvert County,1675,0.038,350956,0.044,2018
Caroline County,362,0.213,190836,0.045,2018
Carroll County,2390,0.035,338010,0.032,2018
Cecil County,1319,0.121,235309,0.053,2018
Charles County,2757,0.125,311739,0.038,2018
Dorchester County,434,0.021,194048,0.046,2018
Frederick County,4445,0.012,341426,0.024,2018
Garrett County,479,0.081,337954,0.03,2018
Harford County,3919,0.071,281578,0.067,2018
Howard County,4362,0.028,456190,0.018,2018
Kent County,324,0.028,278301,0.065,2018
Montgomery County,12471,0.027,540288,0.026,2018
Prince George's County,11175,0.039,302049,0.068,2018
Queen Anne's County,873,0.002,374633,0.036,2018
Somerset County,231,0.165,128103,0.136,2018
St. Mary's County,1638,0.129,294659,0.022,2018
Talbot County,662,-0.033,451318,0.148,2018
Washington County,1794,0.086,214634,0.006,2018
Wicomico County,1269,-0.044,165808,0.119,2018
Worcester County,2325,0.052,285397,0.036,2018
Allegany County,695,0.106,111568,0.121,2019
Anne Arundel County,10033,0.121,411407,0.095,2019
Baltimore City,9102,0.081,186893,0.106,2019
Baltimore County,10953,0.063,294006,0.088,2019
Calvert County,1738,0.159,366356,0.086,2019
Caroline County,439,0.011,199362,0.136,2019
Carroll County,2473,0.14,348752,0.092,2019
Cecil County,1478,0.097,247831,0.123,2019
Charles County,3103,0.095,323609,0.102,2019
Dorchester County,443,0.185,202969,0.173,2019
Frederick County,4500,0.233,349780,0.092,2019
Garrett County,518,0.367,347995,0.256,2019
Harford County,4197,0.108,300514,0.07,2019
Howard County,4483,0.049,464190,0.062,2019
Kent County,333,0.3,296260,0.122,2019
Montgomery County,12804,0.054,554548,0.063,2019
Prince George's County,11610,-0.028,322660,0.103,2019
Queen Anne's County,875,0.358,388093,0.258,2019
Somerset County,269,-0.115,145486,0.084,2019
St. Mary's County,1850,0.142,301282,0.117,2019
Talbot County,640,0.397,518112,0.236,2019
Washington County,1948,0.059,215947,0.135,2019
Wicomico County,1213,0.096,185596,0.113,2019
Worcester County,2445,0.281,295576,0.093,2019
Allegany County,769,0.116,125067,0.134,2020
Anne Arundel County,11316,0.079,450782,0.095,2020
Baltimore City,9877,0.187,206655,0.161,2020
Baltimore County,11713,0.097,320260,0.093,2020
Calvert County,2027,0.074,397638,0.094,2020
Caroline County,444,0.146,226367,0.215,2020
Carroll County,2825,0.008,380922,0.096,2020
Cecil County,1626,0.046,278224,0.103,2020
Charles County,3442,0.125,357188,0.14,2020
Dorchester County,527,0.201,239512,0.215,2020
Frederick County,5588,0.104,382082,0.153,2020
Garrett County,708,0.035,436946,0.247,2020
Harford County,4675,0.016,322126,0.103,2020
Howard County,4723,0.13,493944,0.101,2020
Kent County,433,0.15,332523,0.199,2020
Montgomery County,13533,0.158,589243,0.098,2020
Prince George's County,11424,0.1,357299,0.103,2020
Queen Anne's County,1192,0.013,488977,0.047,2020
Somerset County,241,0.465,159532,0.201,2020
St. Mary's County,2122,0.043,336908,0.102,2020
Talbot County,895,-0.059,640328,0.129,2020
Washington County,2070,0.139,245323,0.123,2020
Wicomico County,1330,0.177,206589,0.125,2020
Worcester County,3137,0.011,323153,0.23,2020
Allegany County,859,-0.086,141748,0.012,2021
Anne Arundel County,12266,-0.251,493811,0.076,2021
Baltimore City,11790,-0.164,239455,0.074,2021
Baltimore County,12905,-0.19,350467,0.075,2021
Calvert County,2192,-0.3,434421,0.082,2021
Caroline County,510,-0.182,275037,0.071,2021
Carroll County,2854,-0.19,417441,0.089,2021
Cecil County,1725,-0.149,307715,0.087,2021
Charles County,3914,-0.251,407570,0.087,2021
Dorchester County,633,-0.043,291058,0.02,2021
Frederick County,6238,-0.21,442527,0.103,2021
Garrett County,734,-0.275,544657,0.015,2021
Harford County,4773,-0.246,355497,0.069,2021
Howard County,5367,-0.211,544662,0.084,2021
Kent County,499,-0.365,400459,0.025,2021
Montgomery County,15718,-0.232,648172,0.064,2021
Prince George's County,12660,-0.193,394926,0.065,2021
Queen Anne's County,1214,-0.278,512573,0.075,2021
Somerset County,354,-0.028,191526,0.108,2021
St. Mary's County,2228,-0.22,371612,0.075,2021
Talbot County,846,-0.236,721647,-0.038,2021
Washington County,2369,-0.141,275783,0.103,2021
Wicomico County,1581,-0.174,232420,0.119,2021
Worcester County,3178,-0.29,397774,0.106,2021
Allegany County,786,-0.136,143403,0.009,2022
Anne Arundel County,9214,-0.239,531520,0.06,2022
Baltimore City,9905,-0.175,256875,-0.032,2022
Baltimore County,10498,-0.194,376608,0.046,2022
Calvert County,1539,-0.257,470219,0.026,2022
Caroline County,418,-0.275,294154,0.076,2022
Carroll County,2316,-0.247,454604,0.055,2022
Cecil County,1472,-0.273,334277,0.123,2022
Charles County,2959,-0.165,442257,0.019,2022
Dorchester County,609,-0.105,296597,0.023,2022
Frederick County,4941,-0.256,488091,0.021,2022
Garrett County,534,-0.127,551479,0.156,2022
Harford County,3610,-0.238,380098,0.047,2022
Howard County,4237,-0.206,590526,0.055,2022
Kent County,317,-0.028,410288,-0.021,2022
Montgomery County,12102,-0.236,690155,0.03,2022
Prince George's County,10291,-0.173,421316,0.031,2022
Queen Anne's County,879,-0.082,550807,0.018,2022
Somerset County,344,-0.238,212199,-0.073,2022
St. Mary's County,1740,-0.204,399530,0.044,2022
Talbot County,646,-0.218,693912,0.139,2022
Washington County,2043,-0.17,304290,0.061,2022
Wicomico County,1309,-0.191,260007,0.039,2022
Worcester County,2258,-0.148,439993,0.084,2022
